Followers,username,Screen name,Gender,Individual/Org,Type
" 9,426,054 ",@MohamadAlarefe,?. ???? ???????,m,I,r
" 6,870,316 ",@shugairi,???? ???????,m,I,r
" 6,606,961 ",@Dr_alqarnee,?.???? ??????,m,I,r
" 5,063,979 ",@salman_alodah,????? ??????,m,I,r
" 4,128,604 ",@Talhabeeb, ?. ?. ???? ??????,m,I,h
" 3,639,815 ",@sabqorg,????? ???,O,O,m
" 3,091,733 ",@fayez_malki,???? ???????,m,I,m
" 2,809,162 ",@TheArabHash,?????? ?????,O,O,t
" 2,459,774 ",@A_Bin_Mosaad,????????? ?? ?????,m,I,s
" 2,390,356 ",@battalalgoos,???? ?????,m,I,s
" 2,309,460 ",@Omar_Almulhem,??? ?? ????,m,I,u
" 2,222,811 ",@waleedalfarraj,????_??????#,m,I,s
" 2,129,461 ",@Alwaleed_Talal,?????? ?? ????,m,I,rf
" 1,895,190 ",@TurkiAldakhil,#????_??????,m,I,m
" 1,893,378 ",@afaaa73,????????? ?? ???,m,I,rf
" 1,868,808 ",@SaudiNews50, ????? ????????,O,O,m
" 1,831,410 ",@SamiAlJaber,???? ??????,m,I,s
" 1,644,565 ",@h30e,??? ??????,O,O,t
" 1,502,671 ", @mujtahidd,?????,m,I,p
" 1,484,494 ", @Fahad,Fahad Albutairi,m,I,nm
" 1,464,644 ", @HashArabianG,?????? ?????? ??????,O,O,t
" 1,336,541 ", @naseralomar,?.?.???? ?????,m,I,r
" 1,321,049 ", @1yl,???? ?????,m,I,t
" 1,295,841 ", @YASSER_Q_Y20,YASSER.S.ALQAHTANI,m,I,s
" 1,281,634 ", @k_alshenaif,???? ??????,m,I,s
" 1,271,580 ", @altemyat,???? ???????,m,I,s
" 1,251,238 ", @heekma,????? ? ??? ????????,O,O,t
" 1,238,384 ", @yasseraltwaijri,???? ????????,m,I,m
" 1,188,362 ", @Badr_Alzidane,??? ?? ?????,m,I,nm
" 1,175,146 ", @Fastest_spread,???? ????? ????????,m,I,t
" 1,170,235 ", @alrotayyan,???? ???????,m,I,m
" 1,149,813 ",@Alhilal_FC, ???? ?????? ??????? ,O,O,s
" 1,138,068 ",@ActionYaDawry, ???? ??????,O,O,s
" 1,111,742 ",@STC_KSA, ????????? ???????? ,O,O,v
" 1,092,281 ", @moegov1,????? ?????,m,I,t
" 1,092,191 ", @awadalqarni,?. ??? ??????,m,I,r
" 1,050,512 ", @bder28,???,m,I,u
" 1,042,542 ", @nawafbinfaisal,???? ?? ????,m,I,s
" 1,002,147 ", @ok56a,????,m,I,u
" 1,000,940 ", @abuabdelelah,???? ????????,m,I,r
" 996,412 ", @FMB4,???? ????,m,I,nm
" 991,492 ", @3ajel_ksa,???? ????????,O,O,m
" 981,592 ",@saudalshureem,???? ??????,m,I,r
" 976,661 ",@saadalbreik,?. ??? ??????,m,I,r
" 968,982 ", @AmeerahAltaweeL,Ameerah Al-TaweeL,f,I,rf
" 949,870 ",@Binothaymeen,?????? ??? ??????,m,I,r
" 883,585 ",@Abdulazizfawzan,?.????????? ???????,m,I,r
" 882,570 ",@AlRiyadh,????? ??????,O,O,m
" 878,802 ", @Dr_almosleh,???? ??????,m,I,r
" 849,910 ", @MR_To0ony,???? #?????_????_???,m,I,u
" 844,841 ",@salahalghaydan,???? ???????,m,I,m
" 838,607 ",@Temsa7LY, ??????? ,m,I,u
" 821,354 ", @Khalid_Aljubair,?????? ??????,m,I,r
" 819,644 ", @MohsenAlAwajy,|| ???? ???????,m,I,p
" 772,745 ", @abdulmohsnAH,????????? ??????????,m,I,r
" 772,330 ",@TopSaudiNews, ?????? ??????,O,O,t
" 762,819 ", @7omodd,??????,m,I,u
" 734,102 ",@Reda_awwad,??? ??????,m,I,h
" 725,665 ", @almonajjid,???? ???? ??????,m,I,r
" 720,862 ", @Nawal_Al3eed_,?. ???? ?????,f,I,r
" 707,011 ", @m_bukairy,???? ???????,m,I,s
" 696,584 ", @Ho,????? ?????,O,O,t
" 695,600 ",@JarirBookstore, ????? ????,O,O,v
" 681,716 ", @almodifer,??????? ???????,m,I,m
" 664,452 ", @ReemAbdullah,??? ???????,f,I,m
" 654,302 ", @Adelaltwaijri,???? ????????,m,I,s
" 642,000 ", @IbrahimSaleeh,#???????_????,m,I,u
" 640,762 ", @Prince_Cc,????,m,I,u
" 626,037 ", @fahadAlmosaad,??? ???????,m,I,m
" 615,704 ", @abdulaziztarefe,????????? ???????,m,I,r
" 597,645 ", @vemt00,????? ??? ?????,O,O,t
" 597,503 ", @FaisalAbuthnain,???? ???????,m,I,s
" 595,651 ",@AlwatanSA, ????? ????? ????????,O,O,m
" 591,714 ", @omarhuss,??? ????,m,I,nm
" 587,722 ", @Nejer,???? ???,m,I,nm
" 574,151 ", @rashedzahrany,?. ???? ????????,m,I,r
" 568,646 ", @falsunaidy,??? ??????? ???????,m,I,m
" 563,452 ", @biot0557353535,???? ??????,O,O,r
" 531,195 ", @xalfuhrerx,????? ????? ???????,m,I,u
" 530,313 ", @tfrabiah,????? ???????,m,I,p
" 521,843 ",@SaudiMOH,????? ????? ????????,O,O,h
" 519,105 ",@mht,???? ??????,m,I,u
" 516,138 ",@SaudiDiary,?????? ?????,O,O,t
" 512,523 ",@aleqtisadiah,????? ??????????,O,O,m
" 499,896 ",@7ll_Follow_Back,?????? ?????.,O,O,t
" 492,386 ",@essamz,???? ??????,m,I,p
" 482,716 ",@ht3lm,?? ???? ..?!,O,O,t
" 478,525 ",@AliAldafiri,??? ???????,m,I,m
" 474,382 ",@JaberAlkahtani,?.?. ???? ???????? ,m,I,h
" 465,855 ",@Almatrafi,???? ???????,m,I,m
" 464,557 ",@t7shishh,?????? ?????,m,I,u
" 451,915 ",@Fahadalhurifi,??? ???????,m,I,s
" 450,116 ",@Arabian_oud,??????? ?????,O,O,v
" 447,877 ",@Mobily1100,????? ??????? ,O,O,v
" 444,933 ",@YaserSh_,???? ??????,m,I,u
" 437,700 ",@SalehAlshehi,???? ??????,m,I,m
" 426,804 ",@10_tee,???? ???,m,I,u
" 426,740 ",@STCcare,??????? ????????,O,O,v
" 417,009 ",@dr_alimalki,?.??? ???????,m,I,r
" 415,798 ",@alialgofaily,??? ???????,m,I,r
" 415,559 ",@rokaya_mohareb_,?.?. ???? ???????,f,I,r
" 413,542 ",@MNA7L,????? ??,O,O,v
" 413,320 ",@dr_almuqbil,?.??? ??????,m,I,r
" 408,543 ",@Drbakkar,?. ??? ?????? ????,m,I,r
" 402,109 ",@Ibrahim_aldwish,?.??????? ???????,m,I,r
" 388,063 ",@Turki_Homaidan,???? ?????? ??????,m,I,p
" 385,882 ",@abosaef11,??????,m,I,u
" 385,783 ",@Hadialshibani,???? ????????,m,I,nm
" 384,993 ",@No_Rumors,???? ?????? ????????,O,O,t
" 376,064 ",@GhaziAlshammary,?. ???? ??????,m,I,r
" 373,777 ",@LoveLiberty,???? ?? ???? ?? ????,m,I,p
